"","half_of_time_with_data","uses_biodiversity_data","produces_biodiversity_data","manages_biodiversity_data","EOVs","EBVs","emodnet","obis","gbif","national_repos","project_repos","geological","biological","socioeconomic","acoustic","fishery","satellite","pollution","physical","chemical","numeric","visual","reporting","spatial_planning","eia","conservation","policy_eval","policymaking","scientific_research","communication","education","decision_making","protected_area_mgmt","indicator_dev","product_dev","maps","scenarios","models","graphs","tools_integrate_data","other","access","data_gettinghold","technical","data_timing","data_cost","data_consistency","lack_metadata","data_interoperable","data_interpretation","affiliation","area_of_work","region","ecosystem","marine_ecosystem","freshwater_ecosystem","coastal_ecosystem","encourage_data_use","data_literacy_binary"
"94",2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,"Other academic research institution","Conservation and environmental management","Southern Europe","Marine",1,0,0,1,1
"95",1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,"University","Other","Eastern Europe","Marine",1,0,0,1,0
"96",2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,"University","Conservation and environmental management","Africa","Coastal",0,0,1,1,1
"97",1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,"National governmental institution","Law, policy and decision-making","Other","Marine,Terrestrial",1,0,0,1,0
"98",2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,"National governmental institution","Academia, research and education","Southern Europe","Marine,Coastal",1,0,1,1,0
"99",1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,"Nongovernmental organization (NGO)","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,1,1
"100",1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,"University","Academia, research and education","Western Europe","Freshwater",0,1,0,0,1
"101",1,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,"Other","Product development and construction","Southern Europe","Marine",1,0,0,1,1
"102",1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,"National governmental institution","Management and administration","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,0
"103",1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"Local or regional governmental institution","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,1
"104",1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,"Other","Data management","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"105",1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,"Other academic research institution","Academia, research and education","Western Europe","Coastal,Freshwater",0,1,1,1,1
"106",1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"Local or regional governmental institution","Management and administration","Western Europe","Terrestrial",0,0,0,1,0
"107",2,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,"Other academic research institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,1
"108",2,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,"National governmental institution","Conservation and environmental management","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,0
"109",2,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,"University","Academia, research and education","Northern America","Marine",1,0,0,0,0
"110",2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,"Business and Industry","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,1,1
"111",1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,"European Union and its agencies","Law, policy and decision-making","Western Europe","Marine,Terrestrial",1,0,0,1,0
"112",1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,2,"National governmental institution","Other","Southern Europe","None of these",0,0,0,1,0
"113",1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,2,2,2,2,2,1,"National governmental institution","Law, policy and decision-making","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,0
"114",1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,"National governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"115",1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,1,2,"National governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"116",2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,"National governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"117",1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,"National governmental institution","Data management","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"118",1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,"National governmental institution","Academia, research and education","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"119",1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,"National governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"120",1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,"Nongovernmental organization (NGO)","Conservation and environmental management","Western Europe","Marine,Coastal,Freshwater",1,1,1,1,0
"121",2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,"University","Academia, research and education","Western Europe","Marine",1,0,0,1,0
"122",1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,"National governmental institution","Conservation and environmental management","Western Europe","Marine",1,0,0,1,0
"123",1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,2,"Other academic research institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,0,1
"124",2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"University","Academia, research and education","Western Europe","Freshwater",0,1,0,0,0
"125",2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"University","Academia, research and education","Western Europe","Marine,Coastal,Terrestrial",1,0,1,0,1
"126",1,2,2,1,2,2,2,1,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,2,"National governmental institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,0
"127",1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,"National governmental institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,1
"128",1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,"National governmental institution","Law, policy and decision-making","Western Europe","Coastal,Freshwater,Terrestrial",0,1,1,1,0
"129",1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,"National governmental institution","Conservation and environmental management","Western Europe","Marine,Coastal",1,0,1,1,0
"130",1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,"University","Academia, research and education","Western Europe","Freshwater,Terrestrial",0,1,0,0,0
"131",1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,2,"University","Conservation and environmental management","Western Europe","None of these",0,0,0,0,0
"132",1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,"National governmental institution","Academia, research and education","Latin America & Caribbean","Marine,Coastal",1,0,1,1,0
"133",2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,"University","Academia, research and education","Oceania","Marine",1,0,0,1,1
"134",1,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,"National governmental institution","Conservation and environmental management","Western Europe","Coastal,Freshwater,Terrestrial",0,1,1,1,0
"135",1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,"University","Academia, research and education","Asia","Marine,Coastal,Terrestrial",1,0,1,1,0
"136",1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,"National governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,0,0
"137",1,1,1,2,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,2,1,2,"International organization","Data management","Western Europe","Marine,Coastal",1,0,1,1,1
"138",2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,"International organization","Data management","Western Europe","Marine",1,0,0,1,1
"139",1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,2,1,1,"National governmental institution","Data management","Other","Marine,Coastal",1,0,1,1,0
"140",1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,"European Union and its agencies","Other","Southern Europe","Marine,Coastal,Freshwater",1,1,1,1,0
"141",2,2,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,"International organization","Academia, research and education","Northern Europe","Marine,Coastal",1,0,1,1,1
"142",1,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,"University","Academia, research and education","Southern Europe","Marine",1,0,0,1,1
"143",1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,"National governmental institution","Conservation and environmental management","Other","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"144",1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,"Nongovernmental organization (NGO)","Management and administration","Western Europe","Terrestrial",0,0,0,0,1
"145",2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,2,"Nongovernmental organization (NGO)","Conservation and environmental management","Latin America & Caribbean","Marine,Coastal",1,0,1,1,0
"146",1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,"National governmental institution","Law, policy and decision-making","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"147",1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,2,2,2,"Local or regional governmental institution","Other","Western Europe","Coastal,Terrestrial",0,0,1,1,0
"148",1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,"University","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,1,0
"149",1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,"Nongovernmental organization (NGO)","Conservation and environmental management","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"150",1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,"National governmental institution","Law, policy and decision-making","Eastern Europe","Coastal,Terrestrial",0,0,1,0,0
"151",1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,2,"National governmental institution","Law, policy and decision-making","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"152",1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,"Other academic research institution","Academia, research and education","Northern Europe","Marine,Coastal",1,0,1,1,1
"153",1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,"Local or regional governmental institution","Law, policy and decision-making","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,1
"154",1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,"Nongovernmental organization (NGO)","Public engagement","Western Europe","Terrestrial",0,0,0,0,1
"155",1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,"National governmental institution","Conservation and environmental management","Other","Freshwater,Terrestrial",0,1,0,1,0
"156",1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,"Local or regional governmental institution","Law, policy and decision-making","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"157",1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,2,2,"Other academic research institution","Academia, research and education","Northern Europe","Marine,Coastal,Freshwater",1,1,1,1,1
"158",1,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,"University","Academia, research and education","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,0,0
"159",1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,"National governmental institution","Law, policy and decision-making","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"160",1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,"National governmental institution","Conservation and environmental management","Western Europe","Marine,Coastal,Terrestrial",1,0,1,1,0
"161",1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,"National governmental institution","Law, policy and decision-making","Western Europe","Terrestrial",0,0,0,0,0
"162",1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,"Nongovernmental organization (NGO)","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"163",2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,"Other academic research institution","Academia, research and education","Northern Europe","Marine",1,0,0,1,1
"164",1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,"University","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,0
"165",1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,"National governmental institution","Other","Northern America","Marine",1,0,0,1,1
"166",1,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,"University","Academia, research and education","Northern America","Marine,Coastal",1,0,1,1,1
"167",1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,"Local or regional governmental institution","Academia, research and education","Western Europe","Terrestrial",0,0,0,1,0
"168",1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"National governmental institution","Academia, research and education","Western Europe","Freshwater",0,1,0,1,1
"169",1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2,1,"University","Academia, research and education","Western Europe","Freshwater",0,1,0,1,0
"170",2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,"National governmental institution","Conservation and environmental management","Eastern Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,0
"171",1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,"National governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"172",1,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,"Other","Management and administration","Western Europe","Terrestrial",0,0,0,1,0
"173",1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,"Local or regional governmental institution","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,1,1
"174",1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,"Local or regional governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,1
"175",1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,"Local or regional governmental institution","Conservation and environmental management","Western Europe","Terrestrial",0,0,0,1,0
"176",2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,"Other academic research institution","Academia, research and education","Western Europe","Terrestrial",0,0,0,0,1
"177",1,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,"University","Academia, research and education","Western Europe","Marine,Coastal,Freshwater,Terrestrial",1,1,1,1,0
"178",1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,2,2,"Local or regional governmental institution","Conservation and environmental management","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"179",2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,"Other academic research institution","Academia, research and education","Western Europe","Marine,Coastal",1,0,1,1,0
"180",1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,"Local or regional governmental institution","Conservation and environmental management","Western Europe","Marine,Coastal",1,0,1,1,1
"181",1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,"Local or regional governmental institution","Conservation and environmental management","Western Europe","Marine,Coastal",1,0,1,1,1
"182",1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,2,"National governmental institution","Law, policy and decision-making","Northern Europe","Marine,Coastal,Freshwater",1,1,1,0,1
"183",1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,"Local or regional governmental institution","Law, policy and decision-making","Western Europe","Freshwater,Terrestrial",0,1,0,1,0
"184",1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,"University","Academia, research and education","Southern Europe","Terrestrial",0,0,0,0,1
"185",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,"Other academic research institution","Conservation and environmental management","Southern Europe","Marine,Coastal",1,0,1,1,1
"186",1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,"Local or regional governmental institution","Academia, research and education","Asia","Marine,Coastal",1,0,1,1,0
